key,name,pos,team,bye,std,half_ppr,ppr,pass_tds,kick_40_49,kick_20_29,df_ints,pass_yds,rush_yds,rush_tds,kick_50,pass_ints,df_tds,kick_0_19,two_pts,df_safeties,df_sacks,df_fumbles,kick_extra_points,fumbles,df_points_allowed_per_game,receptions,reception_tds,reception_yds,kick_30_39
gibbs_RB_DET,Jahmyr Gibbs,RB,DET,6.0,1,1,1,,,,,,101.0,1.1,,,,,,,,,,0.2,,4.4,0.2,36.8,
robinson_RB_ATL,Bijan Robinson,RB,ATL,11.0,803,3,2,,,,,,73.3,0.2,,,,,,,,,,0.1,,4.3,0.1,40.0,
chase_WR_CIN,Ja'Marr Chase,WR,CIN,6.0,4,4,3,,,,,,0.8,0.0,,,,,,,,,,0.0,,6.8,0.2,83.2,
smithnjigba_WR_SEA,Jaxon Smith-Njigba,WR,SEA,11.0,8,56,4,,,,,,2.0,0.0,,,,,,,,,,0.0,,6.9,1.0,103.0,
brown_WR_DET,Amon-Ra St. Brown,WR,DET,6.0,9,57,5,,,,,,0.6,0.0,,,,,,,,,,0.0,,7.2,1.0,86.0,
taylor_RB_IND,Jonathan Taylor,RB,IND,13.0,2,6,6,,,,,,88.8,0.9,,,,,,,,,,0.2,,2.6,0.0,22.9,
lamb_WR_DAL,CeeDee Lamb,WR,DAL,14.0,12,8,7,,,,,,1.1,0.0,,,,,,,,,,0.0,,6.4,0.2,77.5,
henry_RB_BAL,Derrick Henry,RB,BAL,13.0,6,55,8,,,,,,98.5,1.0,,,,,,,,,,0.1,,1.7,0.0,13.6,
cook_RB_BUF,James Cook III,RB,BUF,7.0,7,7,9,,,,,,88.6,0.8,,,,,,,,,,0.2,,1.9,0.0,16.3,
jeanty_RB_LV,Ashton Jeanty,RB,LV,13.0,20,14,10,,,,,,64.3,0.8,,,,,,,,,,0.1,,4.4,0.2,29.1,
hampton_RB_LAC,Omarion Hampton,RB,LAC,7.0,17,16,11,,,,,,70.6,0.8,,,,,,,,,,0.3,,2.3,0.0,16.2,
walker_RB_KC,Kenneth Walker,RB,KC,5.0,16,15,12,,,,,,89.8,0.8,,,,,,,,,,0.1,,3.6,0.1,31.7,
allen_QB_BUF,Josh Allen,QB,BUF,7.0,27,19,13,2.0,,,,241.0,37.6,0.9,,0.8,,,,,,,,0.2,,,,,
love_RB_ARI,Jeremiyah Love,RB,ARI,14.0,29,65,14,,,,,,49.6,0.2,,,,,,,,,,0.2,,2.8,0.0,21.6,
williams_RB_DAL,Javonte Williams,RB,DAL,14.0,18,17,15,,,,,,62.8,0.8,,,,,,,,,,0.1,,2.8,0.0,14.2,
mcbride_TE_ARI,Trey McBride,TE,ARI,14.0,54,28,16,,,,,,0.0,0.0,,,,,,,,,,0.0,,7.2,0.3,66.4,
williams_RB_LAR,Kyren Williams,RB,LAR,11.0,21,60,17,,,,,,56.7,0.2,,,,,,,,,,0.2,,1.9,0.0,14.0,
swift_RB_CHI,D'Andre Swift,RB,CHI,10.0,35,25,18,,,,,,61.4,0.2,,,,,,,,,,0.1,,2.0,0.0,18.2,
moore_WR_BUF,DJ Moore,WR,BUF,7.0,43,27,19,,,,,,3.0,0.0,,,,,,,,,,0.0,,3.7,0.2,51.7,
watson_WR_GB,Christian Watson,WR,GB,11.0,37,69,20,,,,,,0.8,0.0,,,,,,,,,,0.0,,4.2,0.9,71.2,
waddle_WR_DEN,Jaylen Waddle,WR,DEN,10.0,39,26,21,,,,,,1.2,0.0,,,,,,,,,,0.0,,4.6,0.2,60.0,
evans_WR_SF,Mike Evans,WR,SF,8.0,51,78,22,,,,,,0.0,0.0,,,,,,,,,,0.0,,4.7,0.8,64.6,
montgomery_RB_HOU,David Montgomery,RB,HOU,8.0,44,30,23,,,,,,56.3,0.3,,,,,,,,,,0.1,,2.0,0.0,14.1,
washington_WR_JAX,Parker Washington,WR,JAX,7.0,55,32,24,,,,,,1.0,0.0,,,,,,,,,,0.0,,5.0,0.2,69.0,
price_RB_SEA,Jadarian Price,RB,SEA,11.0,53,33,25,,,,,,58.5,0.7,,,,,,,,,,0.3,,1.8,0.0,15.0,
henderson_RB_NE,TreVeyon Henderson,RB,NE,11.0,57,80,26,,,,,,45.2,0.4,,,,,,,,,,0.1,,1.8,0.1,10.6,
