key,name,pos,team,bye,std,half_ppr,ppr
gibbs_RB_DET,Jahmyr Gibbs,RB,DET,6,1.5,2.2,1.5
taylor_RB_IND,Jonathan Taylor,RB,IND,13,2.5,6.1,7.7
nacua_WR_LAR,Puka Nacua,WR,LAR,11,3.6,3.0,4.2
chase_WR_CIN,Ja'Marr Chase,WR,CIN,6,4.7,3.4,3.2
mccaffrey_RB_SF,Christian McCaffrey,RB,SF,8,5.5,5.6,5.0
henry_RB_BAL,Derrick Henry,RB,BAL,13,7.0,,14.7
cook_RB_BUF,James Cook III,RB,BUF,7,7.7,8.4,11.2
smithnjigba_WR_SEA,Jaxon Smith-Njigba,WR,SEA,11,9.4,,6.5
brown_WR_DET,Amon-Ra St. Brown,WR,DET,6,10.2,,6.5
achane_RB_MIA,De'Von Achane,RB,MIA,6,11.1,,11.2
barkley_RB_PHI,Saquon Barkley,RB,PHI,10,12.9,16.6,17.1
lamb_WR_DAL,CeeDee Lamb,WR,DAL,14,13.2,12.5,9.7
jefferson_WR_MIN,Justin Jefferson,WR,MIN,6,14.5,14.4,11.1
brown_WR_NE,A.J. Brown,WR,NE,11,15.7,16.0,15.7
walker_RB_KC,Kenneth Walker,RB,KC,5,16.4,21.5,21.7
brown_RB_CIN,Chase Brown,RB,CIN,6,16.4,13.7,14.2
hampton_RB_LAC,Omarion Hampton,RB,LAC,7,20.4,22.8,21.3
williams_RB_DAL,Javonte Williams,RB,DAL,14,22.6,24.0,29.6
flowers_WR_BAL,Zay Flowers,WR,BAL,13,23.8,,26.1
jeanty_RB_LV,Ashton Jeanty,RB,LV,13,24.6,21.3,21.0
williams_RB_LAR,Kyren Williams,RB,LAR,11,24.7,,31.5
olave_WR_NO,Chris Olave,WR,NO,8,26.3,,20.5
hall_RB_NYJ,Breece Hall,RB,NYJ,13,28.6,,29.4
higgins_WR_CIN,Tee Higgins,WR,CIN,6,30.7,,34.8
adams_WR_LAR,Davante Adams,WR,LAR,11,30.9,37.0,38.1
etienne_RB_NO,Travis Etienne Jr.,RB,NO,8,31.6,,36.8
allen_QB_BUF,Josh Allen,QB,BUF,7,32.8,29.0,32.9
egbuka_WR_TB,Emeka Egbuka,WR,TB,10,33.0,35.9,34.4
love_RB_ARI,Jeremiyah Love,RB,ARI,14,33.3,,27.7
mcmillan_WR_CAR,Tetairoa McMillan,WR,CAR,5,34.1,,33.3
smith_WR_PHI,DeVonta Smith,WR,PHI,10,34.8,27.8,28.4
nabers_WR_NYG,Malik Nabers,WR,NYG,8,35.5,30.6,28.5
skattebo_RB_NYG,Cam Skattebo,RB,NYG,8,35.8,,37.6
wilson_WR_NYJ,Garrett Wilson,WR,NYJ,13,37.3,,26.5
swift_RB_CHI,D'Andre Swift,RB,CHI,10,39.7,40.8,42.9
mcconkey_WR_LAC,Ladd McConkey,WR,LAC,7,42.1,38.9,37.3
watson_WR_GB,Christian Watson,WR,GB,11,42.4,,54.6
odunze_WR_CHI,Rome Odunze,WR,CHI,10,42.6,49.8,53.6
waddle_WR_DEN,Jaylen Waddle,WR,DEN,10,44.9,44.0,42.3
mclaurin_WR_WSH,Terry McLaurin,WR,WSH,7,45.1,,48.5
maye_QB_NE,Drake Maye,QB,NE,11,46.7,,50.1
