key,name,pos,team,pass_tds,pass_yds,pass_ints,rush_tds,rush_yds,receptions,reception_tds,reception_yds,two_pts,fumbles,kick_0_19,kick_20_29,kick_30_39,kick_40_49,kick_50,kick_extra_points,df_points_allowed_per_game,df_sacks,df_safeties,df_fumbles,df_tds,df_ints
allen_QB_BUF,Josh Allen,QB,BUF,30,3704,13,10,610,,,,,4,,,,,,,,,,,,
jackson_QB_BAL,Lamar Jackson,QB,BAL,33,3364,11,3,604,,,,,4,,,,,,,,,,,,
prescott_QB_DAL,Dak Prescott,QB,DAL,33,4429,12,2,173,,,,,2,,,,,,,,,,,,
lawrence_QB_JAX,Trevor Lawrence,QB,JAX,31,3843,15,6,330,,,,,3,,,,,,,,,,,,
daniels_QB_WSH,Jayden Daniels,QB,WSH,26,3416,12,5,746,,,,,2,,,,,,,,,,,,
hurts_QB_PHI,Jalen Hurts,QB,PHI,26,3367,6,8,490,,,,,4,,,,,,,,,,,,
burrow_QB_CIN,Joe Burrow,QB,CIN,34,4268,14,1,165,,,,,1,,,,,,,,,,,,
maye_QB_NE,Drake Maye,QB,NE,28,3862,11,4,517,,,,,6,,,,,,,,,,,,
williams_QB_CHI,Caleb Williams,QB,CHI,30,3908,10,2,402,,,,,2,,,,,,,,,,,,
purdy_QB_SF,Brock Purdy,QB,SF,29,4131,16,5,350,,,,,5,,,,,,,,,,,,
mahomes_QB_KC,Patrick Mahomes,QB,KC,29,3678,13,4,437,,,,,1,,,,,,,,,,,,
dart_QB_NYG,Jaxson Dart,QB,NYG,26,3509,14,7,531,,,,,2,,,,,,,,,,,,
goff_QB_DET,Jared Goff,QB,DET,34,4250,10,0,46,,,,,4,,,,,,,,,,,,
herbert_QB_LAC,Justin Herbert,QB,LAC,28,3761,13,2,520,,,,,2,,,,,,,,,,,,
mayfield_QB_TB,Baker Mayfield,QB,TB,29,3945,15,2,399,,,,,3,,,,,,,,,,,,
stafford_QB_LAR,Matthew Stafford,QB,LAR,33,4042,7,0,38,,,,,2,,,,,,,,,,,,
willis_QB_MIA,Malik Willis,QB,MIA,26,3109,17,5,724,,,,,6,,,,,,,,,,,,
murray_QB_MIN,Kyler Murray,QB,MIN,28,3494,20,4,494,,,,,4,,,,,,,,,,,,
jones_QB_IND,Daniel Jones,QB,IND,29,3832,12,3,172,,,,,3,,,,,,,,,,,,
darnold_QB_SEA,Sam Darnold,QB,SEA,32,4105,13,0,144,,,,,6,,,,,,,,,,,,
nix_QB_DEN,Bo Nix,QB,DEN,27,3508,10,3,306,,,,,1,,,,,,,,,,,,
stroud_QB_HOU,C.J. Stroud,QB,HOU,28,3918,12,1,249,,,,,3,,,,,,,,,,,,
shough_QB_NO,Tyler Shough,QB,NO,24,4002,14,4,328,,,,,4,,,,,,,,,,,,
love_QB_GB,Jordan Love,QB,GB,29,3678,10,1,220,,,,,2,,,,,,,,,,,,
young_QB_CAR,Bryce Young,QB,CAR,26,3378,14,4,283,,,,,2,,,,,,,,,,,,
brissett_QB_ARI,Jacoby Brissett,QB,ARI,24,3768,12,2,242,,,,,6,,,,,,,,,,,,
ward_QB_TEN,Cam Ward,QB,TEN,24,3337,10,3,148,,,,,6,,,,,,,,,,,,
smith_QB_NYJ,Geno Smith,QB,NYJ,24,2942,16,1,255,,,,,1,,,,,,,,,,,,
rodgers_QB_PIT,Aaron Rodgers,QB,PIT,23,3031,9,1,68,,,,,2,,,,,,,,,,,,
watson_QB_CLE,Deshaun Watson,QB,CLE,17,2656,11,2,256,,,,,5,,,,,,,,,,,,
mendoza_QB_LV,Fernando Mendoza,QB,LV,18,2609,16,1,256,,,,,2,,,,,,,,,,,,
tagovailoa_QB_ATL,Tua Tagovailoa,QB,ATL,16,2334,7,0,39,,,,,1,,,,,,,,,,,,
penix_QB_ATL,Michael Penix Jr.,QB,ATL,8,1257,3,1,38,,,,,1,,,,,,,,,,,,
cousins_QB_LV,Kirk Cousins,QB,LV,5,668,4,0,9,,,,,1,,,,,,,,,,,,
sanders_QB_CLE,Shedeur Sanders,QB,CLE,4,664,3,0,65,,,,,1,,,,,,,,,,,,
simpson_QB_LAR,Ty Simpson,QB,LAR,4,449,1,0,32,,,,,0,,,,,,,,,,,,
mariota_QB_WSH,Marcus Mariota,QB,WSH,3,342,1,0,6,,,,,0,,,,,,,,,,,,
richardson_QB_IND,Anthony Richardson,QB,IND,1,161,0,0,20,,,,,0,,,,,,,,,,,,
ewers_QB_JAX,Quinn Ewers,QB,JAX,1,157,1,0,19,,,,,0,,,,,,,,,,,,
devito_QB_NE,Tommy DeVito,QB,NE,1,158,0,0,21,,,,,0,,,,,,,,,,,,
mills_QB_HOU,Davis Mills,QB,HOU,1,160,0,0,19,,,,,0,,,,,,,,,,,,
