key,name,pos,team,pass_tds,pass_yds,pass_ints,rush_tds,rush_yds,receptions,reception_tds,reception_yds,two_pts,fumbles,kick_0_19,kick_20_29,kick_30_39,kick_40_49,kick_50,kick_extra_points,df_points_allowed_per_game,df_sacks,df_safeties,df_fumbles,df_tds,df_ints
gibbs_RB_DET,Jahmyr Gibbs,RB,DET,,,,1.0,90.0,4.0,0.0,32.0,,,,,,,,,,,,,,
hurts_QB_PHI,Jalen Hurts,QB,PHI,2.0,229.0,1.0,1.0,27.0,,,,,,,,,,,,,,,,,
nacua_WR_LAR,Puka Nacua,WR,LAR,,,,0.0,5.0,7.0,1.0,94.0,,,,,,,,,,,,,,
chase_WR_CIN,Ja'Marr Chase,WR,CIN,,,,0.0,1.0,7.0,1.0,89.0,,,,,,,,,,,,,,
allen_QB_BUF,Josh Allen,QB,BUF,1.0,224.0,1.0,1.0,32.0,,,,,,,,,,,,,,,,,
robinson_RB_ATL,Bijan Robinson,RB,ATL,,,,0.0,76.0,5.0,0.0,40.0,,,,,,,,,,,,,,
jackson_QB_BAL,Lamar Jackson,QB,BAL,2.0,232.0,1.0,0.0,40.0,,,,,,,,,,,,,,,,,
herbert_QB_LAC,Justin Herbert,QB,LAC,2.0,234.0,1.0,0.0,26.0,,,,,,,,,,,,,,,,,
smithnjigba_WR_SEA,Jaxon Smith-Njigba,WR,SEA,,,,0.0,1.0,7.0,0.0,91.0,,,,,,,,,,,,,,
brown_WR_DET,Amon-Ra St. Brown,WR,DET,,,,0.0,1.0,7.0,1.0,82.0,,,,,,,,,,,,,,
dart_QB_NYG,Jaxson Dart,QB,NYG,1.0,221.0,1.0,0.0,33.0,,,,,,,,,,,,,,,,,
mccaffrey_RB_SF,Christian McCaffrey,RB,SF,,,,0.0,57.0,5.0,0.0,39.0,,,,,,,,,,,,,,
jeanty_RB_LV,Ashton Jeanty,RB,LV,,,,1.0,75.0,4.0,0.0,27.0,,,,,,,,,,,,,,
achane_RB_MIA,De'Von Achane,RB,MIA,,,,0.0,83.0,4.0,0.0,31.0,,,,,,,,,,,,,,
burrow_QB_CIN,Joe Burrow,QB,CIN,2.0,243.0,1.0,0.0,11.0,,,,,,,,,,,,,,,,,
taylor_RB_IND,Jonathan Taylor,RB,IND,,,,1.0,83.0,3.0,0.0,23.0,,,,,,,,,,,,,,
barkley_RB_PHI,Saquon Barkley,RB,PHI,,,,1.0,83.0,3.0,0.0,23.0,,,,,,,,,,,,,,
hampton_RB_LAC,Omarion Hampton,RB,LAC,,,,1.0,74.0,3.0,0.0,23.0,,,,,,,,,,,,,,
stafford_QB_LAR,Matthew Stafford,QB,LAR,2.0,254.0,1.0,0.0,2.0,,,,,,,,,,,,,,,,,
lamb_WR_DAL,CeeDee Lamb,WR,DAL,,,,0.0,1.0,6.0,0.0,81.0,,,,,,,,,,,,,,
jefferson_WR_MIN,Justin Jefferson,WR,MIN,,,,0.0,1.0,6.0,0.0,80.0,,,,,,,,,,,,,,
lawrence_QB_JAX,Trevor Lawrence,QB,JAX,2.0,226.0,1.0,0.0,20.0,,,,,,,,,,,,,,,,,
daniels_QB_WSH,Jayden Daniels,QB,WSH,1.0,220.0,1.0,0.0,38.0,,,,,,,,,,,,,,,,,
prescott_QB_DAL,Dak Prescott,QB,DAL,2.0,243.0,1.0,0.0,11.0,,,,,,,,,,,,,,,,,
hall_RB_NYJ,Breece Hall,RB,NYJ,,,,0.0,71.0,3.0,0.0,26.0,,,,,,,,,,,,,,
murray_QB_MIN,Kyler Murray,QB,MIN,1.0,219.0,1.0,0.0,29.0,,,,,,,,,,,,,,,,,
henry_RB_BAL,Derrick Henry,RB,BAL,,,,1.0,88.0,1.0,0.0,13.0,,,,,,,,,,,,,,
