name,pos,team,adp,proj
Josh Allen,QB,BUF,24.6,355.6
Lamar Jackson,QB,BAL,41.8,331.1
Drake Maye,QB,NE,49.2,328.1
Joe Burrow,QB,CIN,52.7,321.4
Jalen Hurts,QB,PHI,57.1,327.2
Jayden Daniels,QB,WAS,60.1,323.3
Caleb Williams,QB,CHI,67.0,309.5
Justin Herbert,QB,LAC,73.0,291.6
Dak Prescott,QB,DAL,73.4,317.2
Trevor Lawrence,QB,JAX,82.4,305.7
Bo Nix,QB,DEN,98.4,303.0
Jaxson Dart,QB,NYG,98.4,300.3
Brock Purdy,QB,SF,99.0,289.0
Matthew Stafford,QB,LAR,102.4,287.3
Patrick Mahomes,QB,KC,112.2,279.9
Jared Goff,QB,DET,114.4,296.3
Kyler Murray,QB,MIN,117.7,290.9
Jordan Love,QB,GB,124.2,298.0
Aaron Rodgers,QB,PIT,130.4,242.7
Malik Willis,QB,MIA,130.5,282.1
Baker Mayfield,QB,TB,130.6,275.9
Sam Darnold,QB,SEA,130.7,271.8
Fernando Mendoza,QB,LV,130.9,190.0
Tyler Shough,QB,NO,132.9,286.1
C.J. Stroud,QB,HOU,133.6,287.4
Daniel Jones,QB,IND,133.9,276.8
Bryce Young,QB,CAR,999,251.4
Cam Ward,QB,TEN,999,252.7
Jacoby Brissett,QB,ARI,999,218.2
Jahmyr Gibbs,RB,DET,1.2,323.2
Bijan Robinson,RB,ATL,2.2,316.1
Jonathan Taylor,RB,IND,5.0,278.7
Christian McCaffrey,RB,SF,6.3,273.8
James Cook III,RB,BUF,8.8,247.5
Saquon Barkley,RB,PHI,10.3,226.3
Kenneth Walker III,RB,KC,13.4,225.0
Chase Brown,RB,CIN,14.2,233.1
De'Von Achane,RB,MIA,14.8,258.1
Derrick Henry,RB,BAL,15.8,234.3
Omarion Hampton,RB,LAC,17.1,216.7
Ashton Jeanty,RB,LV,21.8,204.4
Kyren Williams,RB,LAR,26.2,208.8
Jeremiyah Love,RB,ARI,30.1,213.0
Javonte Williams,RB,DAL,30.3,225.2
Breece Hall,RB,NYJ,32.9,212.5
Travis Etienne Jr.,RB,NO,39.3,197.1
D'Andre Swift,RB,CHI,42.6,182.6
Cam Skattebo,RB,NYG,42.9,198.7
Bucky Irving,RB,TB,50.4,184.3
David Montgomery,RB,HOU,53.5,192.6
Quinshon Judkins,RB,CLE,56.0,183.2
Bhayshul Tuten,RB,JAX,59.0,162.5
Jaydn Price,RB,SEA,59.4,182.5
Rhamondre Stevenson,RB,NE,70.6,162.5
TreVeyon Henderson,RB,NE,70.8,167.0
Jaylen Warren,RB,PIT,72.8,182.8
Jonathon Brooks,RB,CAR,82.2,156.1
Rico Dowdle,RB,PIT,84.3,173.4
MarShawn Lloyd,RB,GB,84.9,181.5
Tony Pollard,RB,TEN,85.3,147.9
J.K. Dobbins,RB,DEN,91.2,133.2
